date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:11:53	38512/38512	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Sep%202023%2008:43:08%20GMT	https://templates.hibootstrap.com/ecour/default/index.html	C:/Users/BAPI%20SWAIN/OneDrive/Desktop/College%20Project%20No.1/College%20Project/templates.hibootstrap.com/ecour/default/index.html	(from )
23:11:54	125/125	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2022%20Sep%202023%2017:41:53%20GMT	https://templates.hibootstrap.com/robots.txt		(from )
23:11:55	11438/11438	---M--	200	added ('OK')	image/png	etag:%2264f598e9-2cae%22	https://templates.hibootstrap.com/ecour/default/assets/img/favicon.png	C:/Users/BAPI%20SWAIN/OneDrive/Desktop/College%20Project%20No.1/College%20Project/templates.hibootstrap.com/ecour/default/assets/img/favicon.png	(from https://templates.hibootstrap.com/ecour/default/index.html)
23:11:56	163826/163826	---MCZ	200	added ('OK')	text/css	etag:W/%2264f598bf-27ff2%22	https://templates.hibootstrap.com/ecour/default/assets/css/bootstrap.min.css	C:/Users/BAPI%20SWAIN/OneDrive/Desktop/College%20Project%20No.1/College%20Project/templates.hibootstrap.com/ecour/default/assets/css/bootstrap.min.css	(from https://templates.hibootstrap.com/ecour/default/index.html)
23:11:57	30747/30747	---MCZ	200	added ('OK')	text/css	etag:W/%2264f598c1-781b%22	https://templates.hibootstrap.com/ecour/default/assets/css/jquery-ui-min.css	C:/Users/BAPI%20SWAIN/OneDrive/Desktop/College%20Project%20No.1/College%20Project/templates.hibootstrap.com/ecour/default/assets/css/jquery-ui-min.css	(from https://templates.hibootstrap.com/ecour/default/index.html)
23:11:57	89729/89729	---MCZ	200	added ('OK')	text/css	etag:W/%2264f598c2-15e81%22	https://templates.hibootstrap.com/ecour/default/assets/css/line-awesome.min.css	C:/Users/BAPI%20SWAIN/OneDrive/Desktop/College%20Project%20No.1/College%20Project/templates.hibootstrap.com/ecour/default/assets/css/line-awesome.min.css	(from https://templates.hibootstrap.com/ecour/default/index.html)
23:11:58	96399/96399	---MCZ	200	added ('OK')	text/css	etag:W/%2264f598c1-1af9c%22	https://templates.hibootstrap.com/ecour/default/assets/css/remixicon.css	C:/Users/BAPI%20SWAIN/OneDrive/Desktop/College%20Project%20No.1/College%20Project/templates.hibootstrap.com/ecour/default/assets/css/remixicon.css	(from https://templates.hibootstrap.com/ecour/default/index.html)
23:11:59	56048/56048	---MCZ	200	added ('OK')	text/css	etag:W/%2264f598c0-daf0%22	https://templates.hibootstrap.com/ecour/default/assets/css/animate.min.css	C:/Users/BAPI%20SWAIN/OneDrive/Desktop/College%20Project%20No.1/College%20Project/templates.hibootstrap.com/ecour/default/assets/css/animate.min.css	(from https://templates.hibootstrap.com/ecour/default/index.html)
23:11:59	15868/15868	---MCZ	200	added ('OK')	text/css	etag:W/%2264f598bf-3dfc%22	https://templates.hibootstrap.com/ecour/default/assets/css/swiper-min.css	C:/Users/BAPI%20SWAIN/OneDrive/Desktop/College%20Project%20No.1/College%20Project/templates.hibootstrap.com/ecour/default/assets/css/swiper-min.css	(from https://templates.hibootstrap.com/ecour/default/index.html)
23:12:00	5259/5259	---MCZ	200	added ('OK')	text/css	etag:W/%2264f598c0-148b%22	https://templates.hibootstrap.com/ecour/default/assets/css/magnific-popup.css	C:/Users/BAPI%20SWAIN/OneDrive/Desktop/College%20Project%20No.1/College%20Project/templates.hibootstrap.com/ecour/default/assets/css/magnific-popup.css	(from https://templates.hibootstrap.com/ecour/default/index.html)
23:12:01	187746/187746	---MCZ	200	added ('OK')	text/css	etag:W/%2264f598da-38558%22	https://templates.hibootstrap.com/ecour/default/assets/scss/style.css	C:/Users/BAPI%20SWAIN/OneDrive/Desktop/College%20Project%20No.1/College%20Project/templates.hibootstrap.com/ecour/default/assets/scss/style.css	(from https://templates.hibootstrap.com/ecour/default/index.html)
23:12:01	29989/29989	---M--	200	added ('OK')	image/gif	etag:%2264f598e6-7525%22	https://templates.hibootstrap.com/ecour/default/assets/img/preloader.gif	C:/Users/BAPI%20SWAIN/OneDrive/Desktop/College%20Project%20No.1/College%20Project/templates.hibootstrap.com/ecour/default/assets/img/preloader.gif	(from https://templates.hibootstrap.com/ecour/default/index.html)
23:12:02	17335/17335	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Sep%202023%2008:43:12%20GMT	https://templates.hibootstrap.com/ecour/default/login.html	C:/Users/BAPI%20SWAIN/OneDrive/Desktop/College%20Project%20No.1/College%20Project/templates.hibootstrap.com/ecour/default/login.html	(from https://templates.hibootstrap.com/ecour/default/index.html)
23:12:03	20259/20259	---M--	200	added ('OK')	image/png	etag:%2264f598e9-4f23%22	https://templates.hibootstrap.com/ecour/default/assets/img/logo.png	C:/Users/BAPI%20SWAIN/OneDrive/Desktop/College%20Project%20No.1/College%20Project/templates.hibootstrap.com/ecour/default/assets/img/logo.png	(from https://templates.hibootstrap.com/ecour/default/index.html)
23:12:03	23651/23651	---M--	200	added ('OK')	image/png	etag:%2264f598e9-5c63%22	https://templates.hibootstrap.com/ecour/default/assets/img/logo-white.png	C:/Users/BAPI%20SWAIN/OneDrive/Desktop/College%20Project%20No.1/College%20Project/templates.hibootstrap.com/ecour/default/assets/img/logo-white.png	(from https://templates.hibootstrap.com/ecour/default/index.html)
23:12:04	42022/42022	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Sep%202023%2008:43:06%20GMT	https://templates.hibootstrap.com/ecour/default/index-2.html	C:/Users/BAPI%20SWAIN/OneDrive/Desktop/College%20Project%20No.1/College%20Project/templates.hibootstrap.com/ecour/default/index-2.html	(from https://templates.hibootstrap.com/ecour/default/index.html)
23:12:05	41856/41856	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Sep%202023%2008:43:10%20GMT	https://templates.hibootstrap.com/ecour/default/index-3.html	C:/Users/BAPI%20SWAIN/OneDrive/Desktop/College%20Project%20No.1/College%20Project/templates.hibootstrap.com/ecour/default/index-3.html	(from https://templates.hibootstrap.com/ecour/default/index.html)
